iter	RMSE
0	14.08276598
1	13.18901364
2	12.36475457
3	11.59384121
4	10.93857776
5	10.41636371
6	9.938358065
7	9.445615448
8	9.043657496
9	8.622539598
10	8.232543033
11	7.907729747
12	7.621052924
13	7.367679597
14	7.134541321
15	6.92329154
16	6.742488489
17	6.562752824
18	6.418930744
19	6.293164153
20	6.177270038
21	6.065327163
22	5.97134403
23	5.88272804
24	5.793200278
25	5.717751906
26	5.646644746
27	5.587639462
28	5.544729681
29	5.495069322
30	5.440072517
31	5.397083378
32	5.363679944
33	5.334099839
34	5.292990635
35	5.261142324
36	5.23479982
37	5.206460708
38	5.183374602
39	5.162891597
40	5.143818024
41	5.128802363
42	5.10519095
43	5.094629675
44	5.074729672
45	5.056067902
46	5.035573408
47	5.021257865
48	4.998884113
49	4.982722492
50	4.970157583
51	4.964000754
52	4.957992492
53	4.93897817
54	4.926217573
55	4.911467683
56	4.899764192
57	4.889384214
58	4.871862104
59	4.856838729
60	4.848045651
61	4.836812674
62	4.832760887
63	4.822484029
64	4.807165368
65	4.797735968
66	4.78916431
67	4.777752284
68	4.771447507
69	4.760608804
70	4.753015636
71	4.745601908
72	4.73934716
73	4.731904359
74	4.72587599
75	4.716710778
76	4.712361969
77	4.701243946
78	4.692507847
79	4.686432007
80	4.67822393
81	4.671383742
82	4.663743
83	4.654975149
84	4.648742716
85	4.643255812
86	4.634300788
87	4.621711059
88	4.610348259
89	4.604153644
90	4.598816106
91	4.593592224
92	4.58523908
93	4.579094786
94	4.574009097
95	4.570382983
96	4.566376342
97	4.560434174
98	4.550856739
99	4.543348569
